group,pipeline,cer,wer,accuracy
degraded,hybrid_baseline,0.6013636846463727,0.732768308268934,33.29340035423466
degraded,paddle_baseline,0.6013636846463727,0.732768308268934,33.29340035423466
degraded,tesseract_baseline,0.6078682257316274,0.7586826924687601,31.67245408998063
dense_text,hybrid_baseline,0.29232366035296237,0.446679931157627,63.04982042447053
dense_text,paddle_baseline,0.29232366035296237,0.446679931157627,63.04982042447053
dense_text,tesseract_baseline,0.37387681695096747,0.5589785331715441,53.35723249387442
handwritten,hybrid_baseline,0.39035626535626533,0.8359788359788359,38.683244933244936
handwritten,tesseract_baseline,0.39035626535626533,0.8359788359788359,38.683244933244936
handwritten,paddle_baseline,0.708867958867959,0.9298941798941799,18.061893061893063
printed,hybrid_baseline,0.41371647576928333,0.5798159915037361,50.323376636349025
printed,paddle_baseline,0.41371647576928333,0.5798159915037361,50.323376636349025
printed,tesseract_baseline,0.43462819401825864,0.6014873326054626,48.19422366881394
receipts,hybrid_baseline,0.08954200462623048,0.1625238745780019,87.39670603978838
receipts,tesseract_baseline,0.08954200462623048,0.1625238745780019,87.39670603978838
receipts,paddle_baseline,0.18845024143077127,0.26729241344104515,77.21286725640918
scene_text,hybrid_baseline,0.17777777777777778,0.5,66.11111111111111
scene_text,paddle_baseline,0.17777777777777778,0.5,66.11111111111111
scene_text,tesseract_baseline,0.26666666666666666,0.5,61.666666666666664
